#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
46.600000000010986,-32514.226118566265,-27658.81103728272,292.05911804748223
46.80000000001123,-32528.955626547395,-27521.080255644687,301.22978975690614
47.000000000011475,-32574.840238296718,-27462.301965586084,307.5253905001143
47.20000000001172,-32390.807096442266,-27418.515794895648,299.08936473892135
47.400000000011964,-32479.705746515916,-27419.08161203403,304.40269199309495
47.60000000001221,-32505.388683384488,-27545.035136190447,298.37129430636014
47.80000000001245,-32639.990132108243,-27653.60896542194,299.9368872508415
48.0000000000127,-32669.77160755763,-27552.722683002794,307.796711690452
48.20000000001294,-32571.171194254683,-27557.844652798056,301.5576842906693
48.400000000013186,-32624.455336212675,-27659.454552200186,298.6508312488938
48.60000000001343,-32643.04526396934,-27485.6037055396,310.2263777082129
48.800000000013675,-32439.079121760442,-27461.498693721252,299.4075121254582
49.00000000001392,-32325.661629236594,-27396.59405752999,296.4894048581566
49.200000000014164,-32279.723983656964,-27398.21043798735,293.6289723984258
49.40000000001441,-32317.353528707376,-27460.163857921347,292.16586176276013
49.60000000001465,-32425.471689777245,-27510.528465137613,295.6398082164034
49.8000000000149,-32591.523123182444,-27568.846296717238,302.1201152975722
50.00000000001514,-32316.161879920604,-27513.48689913514,288.88673690614996
50.200000000015386,-32415.582793725887,-27487.484178361134,296.4311209565972
50.40000000001563,-32502.145293725887,-27531.737822448602,298.97605005875454
50.600000000015875,-32542.864043725887,-27523.652646498056,301.91166551732067
50.80000000001612,-32391.00329109875,-27551.075599576347,291.12753273113475
51.000000000016364,-32431.880479721207,-27647.206268183276,287.80396875912237
51.20000000001661,-32651.163459815027,-27613.99087825691,302.9920525834671
51.40000000001685,-32600.83037921216,-27637.892572615645,298.52674065013446
51.6000000000171,-32606.595658709208,-27632.412545736326,299.2031594953772
51.80000000001734,-32694.884721209208,-27504.531391776312,312.2060607325573
52.000000000017586,-32343.987842916365,-27384.321630918043,298.3299502590019
52.20000000001783,-32254.98250241694,-27311.300324700074,297.36849117117276
52.400000000018075,-32290.343192321074,-27292.19645555911,300.6446005898861
52.60000000001832,-32144.94596869999,-27194.691038062912,297.7638502473557
52.800000000018564,-32234.093140995625,-27177.855392531987,304.13884554321197
53.00000000001881,-32205.404206244973,-27207.544160953024,300.62735574954144
53.20000000001905,-32333.053689128137,-27253.30629963579,305.5529790229478
53.4000000000193,-32377.713441729895,-27278.51365303935,306.7230644757103
53.60000000001954,-32302.760316729895,-27189.153644071077,307.589656055451
53.800000000019786,-32170.770943533134,-27082.265833009704,306.07976658644657
54.00000000002003,-32035.439002241677,-26875.250610085874,310.391603095132
54.200000000020275,-32226.153531041986,-26984.036507506913,315.3197098425249
54.40000000002052,-32208.286540682282,-27110.807089290436,306.6195840964243
54.60000000002076,-32136.880290682282,-27112.8245991914,302.20305570463603
54.80000000002101,-32351.7396852542,-27170.00994950722,311.6873410918788
55.00000000002125,-32370.568128953368,-27347.034918713995,302.1716278223732
55.2000000000215,-32353.33256534516,-27274.793622434896,305.4802894923801
55.40000000002174,-32301.100335863943,-27249.79763408011,303.84199648773506
55.600000000021986,-32141.42914200286,-27253.399592191825,294.02091796659624
55.80000000002223,-32331.13306656218,-27307.57142976945,302.17333771410506
56.000000000022474,-32177.569038957445,-27184.90988189829,300.3145160015684
56.20000000002272,-32254.748122755438,-27097.441213344806,310.21827840607136
56.40000000002296,-32131.682295728242,-27010.15530147974,308.0660730248369
56.60000000002321,-32133.091952838615,-27120.22365019811,301.5301206689703
56.80000000002345,-31978.275126635854,-27085.41806814709,294.31129848055446
57.0000000000237,-32058.008491981513,-27032.97472014252,302.2618884262606
57.20000000002394,-32212.6852612207,-27089.38025276494,308.17302274026895
57.400000000024185,-32219.98176100393,-27038.737913015386,311.65811435269734
57.60000000002443,-32198.70681152551,-27090.403525714297,307.2706508912279
57.800000000024674,-32141.64397804014,-27115.757251730494,302.3131946742875
58.00000000002492,-32206.504957921657,-27255.858243206487,297.78741653579806
58.20000000002516,-32202.327302029968,-27240.547640697245,298.45707680499436
58.40000000002541,-32370.469480432715,-27287.232545943145,305.7628793954628
58.60000000002565,-32314.72492157697,-27305.06528832094,301.3371153059174
58.800000000025896,-32296.903161370254,-27408.51874685014,294.04226351012335
59.00000000002614,-32388.74658012431,-27402.609826688364,299.92218549679086
59.200000000026385,-32461.27747305465,-27506.21172647254,298.05322667315545
59.40000000002663,-32422.71353276135,-27467.82411925742,298.0426200242007
59.600000000026874,-32475.1316773071,-27462.854102717625,301.4945876587743
59.80000000002712,-32336.705309823476,-27321.110553188802,301.69412019024776
60.00000000002736,-32231.667548748926,-27154.54158041373,305.3952973544661
60.20000000002761,-32152.622408715106,-27171.445084327162,299.6238698122345
60.40000000002785,-32296.05787017467,-27289.559608952055,301.1469549360125
60.600000000028096,-32375.422857583675,-27302.028507090814,305.17083600612045
60.80000000002834,-32319.43131290807,-27370.918025085353,297.65908831540946
61.000000000028585,-32168.28299444713,-27300.36829859749,292.81098505472966
61.20000000002883,-32489.440414043784,-27335.362291049853,310.0240629790813
61.400000000029074,-32638.582309885038,-27527.288307302253,307.4505461397314
61.60000000002932,-32389.765036771714,-27450.806252594746,297.0843733092887
61.80000000002956,-32352.210349271714,-27425.049862695567,296.374691369831
62.00000000002981,-32322.499861084623,-27317.83816494886,301.0364833140146
62.20000000003005,-32414.250009312877,-27307.64118115476,307.1687272040772
62.400000000030296,-32271.263952788926,-27326.67357302367,297.4231206281443
62.60000000003054,-32474.708629699977,-27409.48566538011,304.6793171969233
62.800000000030785,-32304.55471193188,-27365.333196939464,297.1001768871413
63.00000000003103,-32437.093559613975,-27347.125395615178,306.16777103107563
